model,nb_lignes,nb_disques_uniques,nb_pannes,date_min,date_max
ST4000DM000,2012243,36144,150,2016-01-01,2022-09-01
ST12000NM0007,1181954,38771,53,2017-10-01,2022-09-01
ST8000NM0055,900234,15424,31,2017-01-01,2022-09-01
ST8000DM002,706020,10284,29,2016-06-01,2022-09-01
TOSHIBA MG07ACA14TA,862744,38832,19,2018-07-01,2022-09-01
ST12000NM0008,598732,20600,16,2019-11-01,2022-09-01
ST500LM012 HN,45900,803,11,2016-01-01,2022-09-01
TOSHIBA MQ01ABF050,26635,583,10,2016-07-01,2022-09-01
ST14000NM001G,206442,10911,9,2020-10-01,2022-09-01
HGST HMS5C4040BLE640,999372,16310,6,2016-01-01,2022-09-01
HGST HUH721212ALN604,448447,10973,6,2018-08-01,2022-09-01
HGST HMS5C4040ALE640,377877,8638,6,2016-01-01,2022-09-01
ST12000NM001G,271238,12644,5,2020-06-01,2022-09-01
ST14000NM0138,33128,1688,5,2020-12-01,2022-09-01
ST16000NM001G,181877,19397,4,2019-11-01,2022-09-01
TOSHIBA MQ01ABF050M,20095,452,4,2017-04-01,2022-09-01
Hitachi HDS5C3030ALA630,79943,4563,3,2016-01-01,2017-09-01
ST500LM030,10469,289,3,2018-09-01,2022-09-01
HP SSD S700 250GB,157,100,3,2021-09-01,2021-12-01
TOSHIBA MG08ACA16TE,59475,6021,2,2021-10-01,2022-09-01
ST6000DX000,108145,1912,2,2016-01-01,2022-09-01
ST10000NM0086,72152,1282,2,2017-10-01,2022-09-01
Hitachi HDS723030ALA640,16308,1000,2,2016-01-01,2017-06-01
ST4000DX000,4337,212,2,2016-01-01,2017-12-01
ST4000DM005,2572,88,2,2017-12-01,2022-09-01
ST320LT007,542,73,2,2016-01-01,2019-09-01
Hitachi HDS722020ALA330,32761,4503,1,2016-01-01,2018-03-01
TOSHIBA MG08ACA16TEY,47823,4264,1,2020-11-01,2022-09-01
Hitachi HDS5C4040ALE630,68044,2639,1,2016-01-01,2022-09-01
HGST HUH728080ALE600,61043,1196,1,2016-01-01,2022-09-01
Seagate BarraCuda SSD ZA250CM10002,16772,569,1,2019-09-01,2022-09-01
WDC WD60EFRX,17154,471,1,2016-01-01,2022-09-01
WDC WD5000LPVX,20242,343,1,2016-01-01,2022-09-01
WDC WD20EFRX,1100,158,1,2016-01-01,2017-02-01
Seagate SSD,4012,109,1,2019-06-01,2022-09-01
WDC WD1600AAJS,2262,101,1,2016-01-01,2019-01-01
ST12000NM0117,279,27,1,2019-09-01,2022-09-01
ST9320325AS,691,24,1,2016-01-01,2018-10-01
ST8000DM004,94,5,1,2018-07-01,2021-08-01
HGST HUH721212ALE604,230731,13245,0,2020-08-01,2022-09-01
WDC WUH721414ALE6L4,173787,8446,0,2020-11-01,2022-09-01
WDC WUH721816ALE6L4,13080,6000,0,2022-03-01,2022-09-01
WDC WUH721816ALE6L0,29033,2704,0,2021-04-01,2022-09-01
HGST HUH721212ALE600,91025,2629,0,2019-04-01,2022-09-01
TOSHIBA MG08ACA16TA,8663,2560,0,2020-03-01,2022-09-01
WDC  WUH721414ALE6L4,2763,2336,0,2020-11-01,2022-08-01
WDC WD30EFRX,21517,1163,0,2016-01-01,2018-08-01
Seagate BarraCuda 120 SSD ZA250CM10003,19972,1117,0,2020-04-01,2022-09-01
WDC  WUH721816ALE6L0,1009,831,0,2021-04-01,2022-08-01
